SITE_NAME,DATE,VARIABLE,VALUE,UNIT,LOWER_GUIDELINE_RECOMMENDATION,UPPER_GUIDELINE_RECOMMENDATION
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,AMMONIA DISSOLVED,0.125,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,ARSENIC TOTAL,0.35,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,CHLORIDE DISSOLVED,13.8,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,COPPER TOTAL,0.97,UG/L,,4.429858
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,LEAD TOTAL,0.168,UG/L,,8.105035
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,NICKEL TOTAL,0.86,UG/L,,167.034488
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,NITROGEN TOTAL,1.433,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,OXYGEN DISSOLVED,12.37,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,PHOSPHORUS TOTAL,0.013,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/2/2013,ZINC TOTAL,2.5,UG/L,,96.3435
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,AMMONIA DISSOLVED,0.01,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,ARSENIC TOTAL,0.34,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,CHLORIDE DISSOLVED,22.7,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,COPPER TOTAL,0.96,UG/L,,4.189144
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,LEAD TOTAL,0.227,UG/L,,7.457729
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,NICKEL TOTAL,0.9,UG/L,,158.937021
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,NITROGEN TOTAL,1.106,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,OXYGEN DISSOLVED,14.3,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,PHOSPHORUS TOTAL,0.017,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",12/3/2013,ZINC TOTAL,3.2,UG/L,,86.448075
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,AMMONIA DISSOLVED,0.013,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,ARSENIC TOTAL,0.66,UG/L,,5
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,CHLORIDE DISSOLVED,21.2,MG/L,,120
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,COPPER TOTAL,2,UG/L,,3.401704
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,LEAD TOTAL,0.822,UG/L,,5.468767
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,NICKEL TOTAL,1.75,UG/L,,132.06779
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,NITROGEN TOTAL,1.099,MG/L,,1
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,OXYGEN DISSOLVED,13.51,MG/L,6.5,
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,PHOSPHORUS TOTAL,0.043,MG/L,,0.05
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",3/4/2013,ZINC TOTAL,4.4,UG/L,,54.7776
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/5/2013,AMMONIA DISSOLVED,0.012,MG/L,,0.019
"SOUTH SASKATCHEWAN RIVER AT HWY 41,",1/5/2013,ARSENIC TOTAL,0.88,UG/L,,5
