ID,GlobalUniqueIdentifier,ScientificName,Order,Locality,DecimalLatitude,DecimalLongitude,YearCollected,MonthCollected,DayCollected,Collector,CollectorNumber,Remarks,SamplingEventIdentifier,TimeObservationsStarted,DurationInHours,NumberOfObservers,ObservationCount,ObservationDate,CommonName,BreedingBirdAtlasCode
B1,URN:NatureAlberta:ABATLAS2:11465-GRJA,Perisoreus canadensis,Passeriformes,Grand Valley Road,51.3833,-114.717,2005,1,16,Andrew Slater,2062,,11465,08:30:00,3,0,5,Jan 16 2005 12:00AM,Gray Jay,X
B2,URN:NatureAlberta:ABATLAS2:11477-CAGO,Branta canadensis,Anseriformes,Calgary,51.1267,-114.021,2005,2,24,Alan Taylor,4371,,11477,17:00:00,0.25,0,200,Feb 24 2005 12:00AM,Canada Goose,X
B3,URN:NatureAlberta:ABATLAS2:11700-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,5,Alan Taylor,4371,,11700,09:45:00,1.25,0,57,Mar  5 2005 12:00AM,Canada Goose,T
B4,URN:NatureAlberta:ABATLAS2:11240-BCCH,Poecile atricapillus,Passeriformes,SW of Olds,51.7653,-114.246,2005,1,23,Alan Taylor,4371,,11240,13:00:00,2,0,1,Jan 23 2005 12:00AM,Black-capped Chickadee,X
B5,URN:NatureAlberta:ABATLAS2:11463-BCCH,Poecile atricapillus,Passeriformes,Cabburn Park,50.95,-114.033,2005,1,5,Andrew Slater,2062,,11463,09:00:00,3.75,0,20,Jan  5 2005 12:00AM,Black-capped Chickadee,X
B6,URN:NatureAlberta:ABATLAS2:11463-CAGO,Branta canadensis,Anseriformes,Cabburn Park,50.95,-114.033,2005,1,5,Andrew Slater,2062,,11463,09:00:00,3.75,0,2620,Jan  5 2005 12:00AM,Canada Goose,X
B7,URN:NatureAlberta:ABATLAS2:92081-CAGO,Branta canadensis,Anseriformes,Chestermere Sloughs,51.0667,-113.817,2005,3,6,Andrew Slater,2062,,92081,08:00:00,2.5,0,740,Mar  6 2005 12:00AM,Canada Goose,X
B8,URN:NatureAlberta:ABATLAS2:92106-BCCH,Poecile atricapillus,Passeriformes,Inglewood Bird Sanctuary (Calgary),51.0333,-114.01,2005,5,20,Andrew Slater,2062,,92106,08:15:00,2,0,2,May 20 2005 12:00AM,Black-capped Chickadee,X
B9,URN:NatureAlberta:ABATLAS2:92106-CAGO,Branta canadensis,Anseriformes,Inglewood Bird Sanctuary (Calgary),51.0333,-114.01,2005,5,20,Andrew Slater,2062,,92106,08:15:00,2,0,14,May 20 2005 12:00AM,Canada Goose,X
B10,URN:NatureAlberta:ABATLAS2:92127-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,9,Alan Taylor,4371,,92127,10:15:00,1,0,710,Mar  9 2005 12:00AM,Canada Goose,H
B11,URN:NatureAlberta:ABATLAS2:92131-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,11,Alan Taylor,4371,,92131,16:50:00,0.666667,0,150,Mar 11 2005 12:00AM,Canada Goose,P
B12,URN:NatureAlberta:ABATLAS2:92152-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,4,3,Alan Taylor,4371,,92152,11:30:00,1.5,0,40,Apr  3 2005 12:00AM,Canada Goose,P
B13,URN:NatureAlberta:ABATLAS2:11920-SNOW,Bubo scandiacus,Strigiformes,Hwy 631 and Rge Rd 151,53.5417,-112.092,2005,1,26,Ed Brimacombe,5832,male and female,11920,06:00:00,3,0,2,Jan 26 2005 12:00AM,Snowy Owl,X
B14,URN:NatureAlberta:ABATLAS2:92620-BCCH,Poecile atricapillus,Passeriformes,QG3,50.8301,-114.08,2005,5,10,Romana Windsteig,9394,,92620,13:00:00,4,0,1,May 10 2005 12:00AM,Black-capped Chickadee,ON
B15,URN:NatureAlberta:ABATLAS2:92620-CAGO,Branta canadensis,Anseriformes,QG3,50.8301,-114.08,2005,5,10,Romana Windsteig,9394,,92620,13:00:00,4,0,17,May 10 2005 12:00AM,Canada Goose,X
B16,URN:NatureAlberta:ABATLAS2:92737-BCCH,Poecile atricapillus,Passeriformes,LM40,55.0675,-119.427,2005,5,13,Jeanne Smith,9429,,92737,12:00:00,2,0,2,May 13 2005 12:00AM,Black-capped Chickadee,H
B17,URN:NatureAlberta:ABATLAS2:92086-COLO,Gavia immer,Gaviiformes,Lake Isle at South View,53.6333,-114.667,2005,5,7,Sandra Benford,6014,,92086,12:00:00,5.85,1,2,May  7 2005 12:00AM,Common Loon,C
B18,URN:NatureAlberta:ABATLAS2:92086-BCCH,Poecile atricapillus,Passeriformes,Lake Isle at South View,53.6333,-114.667,2005,5,7,Sandra Benford,6014,,92086,12:00:00,5.85,1,2,May  7 2005 12:00AM,Black-capped Chickadee,X
B19,URN:NatureAlberta:ABATLAS2:92086-CAGO,Branta canadensis,Anseriformes,Lake Isle at South View,53.6333,-114.667,2005,5,7,Sandra Benford,6014,two pairs,92086,12:00:00,5.85,1,4,May  7 2005 12:00AM,Canada Goose,P
B20,URN:NatureAlberta:ABATLAS2:92090-CAGO,Branta canadensis,Anseriformes,Langdon Reservior,50.9,-113.617,2005,4,3,Andrew Slater,2062,,92090,08:30:00,1.25,0,14,Apr  3 2005 12:00AM,Canada Goose,X
B21,URN:NatureAlberta:ABATLAS2:92741-CAGO,Branta canadensis,Anseriformes,LM50,55.0706,-119.271,2005,5,25,Jeanne Smith,9429,,92741,06:00:00,3,1,2,May 25 2005 12:00AM,Canada Goose,P
B22,URN:NatureAlberta:ABATLAS2:92111-BCCH,Poecile atricapillus,Passeriformes,Inglewood Bird Sanctuary (Calgary),51.0333,-114.01,2005,5,26,Andrew Slater,2062,,92111,08:15:00,1.75,0,3,May 26 2005 12:00AM,Black-capped Chickadee,X
B23,URN:NatureAlberta:ABATLAS2:92111-CAGO,Branta canadensis,Anseriformes,Inglewood Bird Sanctuary (Calgary),51.0333,-114.01,2005,5,26,Andrew Slater,2062,,92111,08:15:00,1.75,0,18,May 26 2005 12:00AM,Canada Goose,X
B24,URN:NatureAlberta:ABATLAS2:92115-CAGO,Branta canadensis,Anseriformes,Eagle Lake,50.9833,-113.333,2005,5,31,Andrew Slater,2062,,92115,08:45:00,1.25,0,4,May 31 2005 12:00AM,Canada Goose,X
B25,URN:NatureAlberta:ABATLAS2:92136-CAGO,Branta canadensis,Anseriformes,SW of Olds,51.7653,-114.246,2005,3,17,Alan Taylor,4371,,92136,10:15:00,1.5,0,400,Mar 17 2005 12:00AM,Canada Goose,T
