Year,School Year,GEO,Level of study,VALUE
2006,2006/2007,Alberta,Canadian undergraduate,6182
2006,2006/2007,Alberta,Canadian graduate,7125
2006,2006/2007,Alberta,International undergraduate,16376
2007,2006/2007,Alberta,International graduate,12551
2007,2007/2008,Alberta,Canadian undergraduate,6505
2007,2007/2008,Alberta,Canadian graduate,7810
2007,2007/2008,Alberta,International undergraduate,16902
2008,2007/2008,Alberta,International graduate,14305
2008,2008/2009,Alberta,Canadian undergraduate,6587
2008,2008/2009,Alberta,Canadian graduate,6141
2008,2008/2009,Alberta,International undergraduate,17869
2009,2008/2009,Alberta,International graduate,11571
2009,2009/2010,Alberta,Canadian undergraduate,6486
2009,2009/2010,Alberta,Canadian graduate,5690
2009,2009/2010,Alberta,International undergraduate,21522
2010,2009/2010,Alberta,International graduate,11477
2010,2010/2011,Alberta,Canadian undergraduate,6691
2010,2010/2011,Alberta,Canadian graduate,5679
2010,2010/2011,Alberta,International undergraduate,21455
2011,2010/2011,Alberta,International graduate,11435
2011,2011/2012,Alberta,Canadian undergraduate,6688
2011,2011/2012,Alberta,Canadian graduate,5522
2011,2011/2012,Alberta,International undergraduate,21854
2012,2011/2012,Alberta,International graduate,11147
2012,2012/2013,Alberta,Canadian undergraduate,6597
2012,2012/2013,Alberta,Canadian graduate,5556
2012,2012/2013,Alberta,International undergraduate,21708
2013,2012/2013,Alberta,International graduate,11031
2013,2013/2014,Alberta,Canadian undergraduate,6544
2013,2013/2014,Alberta,Canadian graduate,5701
2013,2013/2014,Alberta,International undergraduate,21783
2014,2013/2014,Alberta,International graduate,11035
2014,2014/2015,Alberta,Canadian undergraduate,6490
2014,2014/2015,Alberta,Canadian graduate,6464
2014,2014/2015,Alberta,International undergraduate,22355
2015,2014/2015,Alberta,International graduate,11025
2015,2015/2016,Alberta,Canadian undergraduate,6419
2015,2015/2016,Alberta,Canadian graduate,6280
2015,2015/2016,Alberta,International undergraduate,22762
2016,2015/2016,Alberta,International graduate,10059
2016,2016/2017,Alberta,Canadian undergraduate,6332
2016,2016/2017,Alberta,Canadian graduate,6236
2016,2016/2017,Alberta,International undergraduate,22719
2017,2016/2017,Alberta,International graduate,10065
2017,2017/2018,Alberta,Canadian undergraduate,6229
2017,2017/2018,Alberta,Canadian graduate,6238
2017,2017/2018,Alberta,International undergraduate,22850
2018,2017/2018,Alberta,International graduate,12656
2018,2018/2019,Alberta,Canadian undergraduate,6064
2018,2018/2019,Alberta,Canadian graduate,6632
2018,2018/2019,Alberta,International undergraduate,22812
2019,2018/2019,Alberta,International graduate,14240
2019,2019/2020,Alberta,Canadian undergraduate,5926
2019,2019/2020,Alberta,Canadian graduate,7027
2019,2019/2020,Alberta,International undergraduate,22785
2020,2019/2020,Alberta,International graduate,11760
2020,2020/2021,Alberta,Canadian undergraduate,6316
2020,2020/2021,Alberta,Canadian graduate,6897
2020,2020/2021,Alberta,International undergraduate,28101
2021,2020/2021,Alberta,International graduate,15350
2021,2021/2022,Alberta,Canadian undergraduate,6582
2021,2021/2022,Alberta,Canadian graduate,6764
2021,2021/2022,Alberta,International undergraduate,27714
2022,2021/2022,Alberta,International graduate,15146
2022,2022/2023,Alberta,Canadian undergraduate,6746
