ID,name,store_uscore,full_price,developers,publishers,categories,genres,tags,meta_score,meta_uscore,igdb_score,igdb_uscore
1,Counter-Strike: Global Offensive,88,,"Valve,Hidden Path Entertainment",Valve,"Multi-player,Steam Achievements,Full controller support,Steam Trading Cards,Steam Workshop,In-App Purchases,Valve Anti-Cheat enabled,Stats,Remote Play on TV","Action,Free to Play","FPS,Multiplayer,Shooter,Action,Team-Based,Competitive,Tactical,First-Person,e-sports,PvP,Online Co-Op,Military,Co-op,Strategy,War,Trading,Difficult,Realistic,Fast-Paced,Moddable",83,74,81,82
2,Condemned: Criminal Origins,85,1495,Monolith,SEGA,Single-player,Action,"Horror,Action,Atmospheric,First-Person,Survival Horror,Crime,FPS,Psychological Horror,Difficult,Singleplayer,Gore,Classic,Dark,Survival,Detective,Mystery,Story Rich",78,77,74,82
3,Natural Selection 2,85,999,Unknown Worlds Entertainment,Unknown Worlds Entertainment,"Multi-player,PvP,Online PvP,Steam Achievements,Steam Trading Cards,Steam Workshop,Steam Cloud,Valve Anti-Cheat enabled,Includes level editor","Action,Indie,Strategy","Multiplayer,Strategy,FPS,Team-Based,Action,Sci-fi,RTS,Indie,Aliens,Competitive,Shooter,Co-op,Moddable,Tactical,First-Person,Space,Atmospheric,Futuristic,Online Co-Op,Adventure",80,84,85,78
4,GTR 2 FIA GT Racing Game,91,799,SimBin Studios AB,SimBin,"Single-player,Multi-player","Racing,Simulation,Sports","Racing,Simulation,Sports,Multiplayer,Singleplayer,Driving",85,79,90,80
5,Star Trek Online,77,,Cryptic Studios,Perfect World Entertainment,"Multi-player,MMO,Co-op,Steam Achievements,Full controller support,In-App Purchases","Free to Play,Massively Multiplayer,RPG","Free to Play,Sci-fi,Massively Multiplayer,Space,RPG,MMORPG,Action,Open World,Multiplayer,Character Customization,Third Person,Adventure,PvP,Co-op,Singleplayer,PvE,Strategy,Online Co-Op,Tactical,Action RPG",66,62,68,72
6,Postal III,37,1199,Trashmasters,Akella,"Single-player,Steam Achievements",Action,"Action,Dark Humor,Gore,Third-Person Shooter,Open World,Violent,Funny,Third Person,Comedy,Shooter,Singleplayer,Mature,Sandbox,Nudity,Adventure,Great Soundtrack,FPS,Indie,Multiplayer,Story Rich",24,29,10,40
7,Dragon Nest,74,,Eyedentity Games Inc.,Eyedentity Games Inc.,"Single-player,Multi-player,MMO,Co-op","Action,Free to Play,Massively Multiplayer,RPG","Free to Play,Action,Anime,RPG,Massively Multiplayer,MMORPG,Fantasy,Hack and Slash,Adventure,Dragons,Multiplayer,Dungeon Crawler",,72,,66
8,Tribes: Ascend,79,,Hi-Rez Studios,Hi-Rez Studios,"Multi-player,Co-op","Action,Free to Play","Free to Play,FPS,Action,Multiplayer,Shooter,Fast-Paced,Sci-fi,Futuristic,First-Person,Co-op,Massively Multiplayer,Open World,Competitive,Team-Based,Online Co-Op,Difficult,Adventure,Singleplayer,Robots,RPG",86,78,89,80
9,Unstoppable Gorg,80,999,Futuremark,Futuremark,"Single-player,Steam Achievements,Steam Cloud,Steam Leaderboards","Action,Casual,Indie,Strategy","Tower Defense,Strategy,Indie,Casual,Action,Sci-fi,Aliens,Space,Touch-Friendly",73,67,73,60
10,Space Ark,43,499,Strawdog Studios Ltd,Bounce Entertainment ,"Single-player,Steam Achievements,Partial Controller Support,Steam Cloud,Stats,Steam Leaderboards","Action,Indie,Casual","Action,Casual,Indie",,,,
